flightId,flightNo,departureAirport,departureTime,arrivalAirport,arrivalTime,flyDur,historicalFlyDur,aircraftNo,aircraftType,isInternational,fixedSucessor
8037,ZH9008,BKK,2017-11-13 04:05:00,CAN,2017-11-13 07:00:00,02:55:00,02:55:00,B1940,738,TRUE,NULL
8741,ZH9008,BKK,2017-11-14 04:05:00,CAN,2017-11-14 07:00:00,02:55:00,02:55:00,B1713,738,TRUE,NULL
9306,ZH9008,BKK,2017-11-15 04:05:00,CAN,2017-11-15 07:00:00,02:55:00,02:55:00,B1756,738,TRUE,NULL
9965,ZH9008,BKK,2017-11-16 04:05:00,CAN,2017-11-16 07:00:00,02:55:00,02:55:00,B1936,738,TRUE,NULL
10881,ZH9008,BKK,2017-11-17 04:05:00,CAN,2017-11-17 07:00:00,02:55:00,02:55:00,B1973,738,TRUE,NULL
11252,ZH9008,BKK,2017-11-18 04:05:00,CAN,2017-11-18 07:00:00,02:55:00,02:55:00,B1935,738,TRUE,NULL
12053,ZH9008,BKK,2017-11-19 05:05:00,CAN,2017-11-19 07:00:00,02:55:00,02:55:00,B1940,738,TRUE,NULL
