flightId,flightNo,departureAirport,departureTime,arrivalAirport,arrivalTime,flyDur,historicalFlyDur,aircraftNo,aircraftType,isInternational,fixedSucessor
32607,ZH9914,TAO,2017-12-21 18:50:00,SZX,2017-12-21 22:10:00,03:25:00,03:25:00,B1972,738,FALSE,NULL
32608,ZH9915,SZX,2017-12-21 16:40:00,TAO,2017-12-21 19:55:00,02:51:00,02:51:00,B5671,738,FALSE,NULL
32609,ZH9916,TAO,2017-12-21 21:00:00,SZX,2017-12-22 00:35:00,03:25:00,03:25:00,B5671,738,FALSE,NULL
32610,ZH9919,SZX,2017-12-21 19:05:00,HYN,2017-12-21 21:00:00,01:53:00,01:53:00,B1759,738,FALSE,NULL
32611,ZH9920,HYN,2017-12-21 22:05:00,SZX,2017-12-22 00:45:00,02:12:00,02:12:00,B1759,738,FALSE,NULL
32620,ZH9929,SZX,2017-12-21 17:25:00,LYI,2017-12-21 20:00:00,02:35:00,02:35:00,B5412,738,FALSE,NULL
32621,ZH9930,LYI,2017-12-21 20:45:00,SZX,2017-12-21 23:55:00,03:10:00,03:10:00,B5412,738,FALSE,NULL
32624,ZH9965,CAN,2017-12-21 17:15:00,NTG,2017-12-21 19:30:00,02:18:00,02:18:00,B5186,738,FALSE,NULL
32626,ZH9017,YCU,2017-12-21 11:00:00,UTP,2017-12-21 15:00:00,04:00:00,04:00:00,B5381,738,TRUE,NULL
32627,ZH9018,UTP,2017-12-21 16:00:00,YCU,2017-12-21 20:00:00,04:00:00,04:00:00,B5381,738,TRUE,NULL
32628,ZH9019,SZX,2017-12-21 23:15:00,BKK,2017-12-22 02:15:00,03:08:00,03:08:00,B5860,738,TRUE,NULL
32629,ZH9019,XIY,2017-12-21 18:20:00,SZX,2017-12-21 21:15:00,02:56:00,02:56:00,B5860,738,FALSE,NULL
32630,ZH9020,BKK,2017-12-21 03:45:00,SZX,2017-12-21 06:30:00,02:42:00,02:42:00,B5671,738,TRUE,NULL
32631,ZH9020,SZX,2017-12-21 08:25:00,XIY,2017-12-21 11:10:00,03:35:00,03:35:00,B5671,738,FALSE,NULL
32632,ZH9021,SZX,2017-12-21 09:55:00,SIN,2017-12-21 13:40:00,04:01:00,04:01:00,B1756,738,TRUE,NULL
32633,ZH9022,SIN,2017-12-21 14:40:00,SZX,2017-12-21 19:00:00,04:10:00,04:10:00,B1756,738,TRUE,NULL
32634,ZH9023,SZX,2017-12-21 12:20:00,SIN,2017-12-21 15:55:00,04:01:00,04:01:00,B1711,738,TRUE,NULL
32635,ZH9024,SIN,2017-12-21 17:25:00,SZX,2017-12-21 22:00:00,04:10:00,04:10:00,B1711,738,TRUE,NULL
32638,ZH9029,SZX,2017-12-21 17:05:00,KUL,2017-12-21 21:00:00,03:55:00,03:55:00,B1518,738,TRUE,NULL
32639,ZH9030,KUL,2017-12-21 09:00:00,SZX,2017-12-21 13:05:00,04:05:00,04:05:00,B1972,738,TRUE,NULL
32640,ZH9033,SZX,2017-12-21 09:40:00,ICN,2017-12-21 12:55:00,03:20:00,03:20:00,B1759,738,TRUE,NULL
32641,ZH9034,ICN,2017-12-21 13:55:00,SZX,2017-12-21 18:05:00,04:20:00,04:20:00,B1759,738,TRUE,NULL
32644,ZH9051,SZX,2017-12-21 13:10:00,NRT,2017-12-21 16:55:00,03:45:00,03:45:00,B5345,738,TRUE,NULL
32645,ZH9052,NRT,2017-12-21 18:30:00,SZX,2017-12-22 00:20:00,05:50:00,05:50:00,B5345,738,TRUE,NULL
32648,ZH9057,WUX,2017-12-21 15:05:00,KIX,2017-12-21 17:10:00,02:11:00,02:11:00,B1940,738,TRUE,NULL
32649,ZH9058,KIX,2017-12-21 18:10:00,WUX,2017-12-21 21:00:00,02:58:00,02:58:00,B1940,738,TRUE,NULL
32651,ZH9842,NKG,2017-12-21 11:05:00,SZX,2017-12-21 13:35:00,02:35:00,02:35:00,B5860,738,FALSE,NULL
32652,ZH9843,SZX,2017-12-21 08:55:00,NKG,2017-12-21 11:05:00,02:07:00,02:07:00,B5771,738,FALSE,NULL
32653,ZH9844,NKG,2017-12-21 12:15:00,SZX,2017-12-21 14:40:00,02:35:00,02:35:00,B5771,738,FALSE,NULL
32656,ZH9847,SZX,2017-12-21 12:40:00,NKG,2017-12-21 15:00:00,02:07:00,02:07:00,B5612,738,FALSE,NULL
32657,ZH9848,NKG,2017-12-21 16:45:00,SZX,2017-12-21 19:15:00,02:35:00,02:35:00,B5612,738,FALSE,NULL
